Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity,converted,pred_prob,predicted_values,Lead Score
7927b2df-8bba-4d29-b9a2-b6e0beafe620,660737,API,Olark Chat,No,No,0,0.0,0,0.0,Page Visited on Website,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Low in Relevance,No,No,Select,Select,02.Medium,02.Medium,15.0,15.0,No,No,Modified,1.0,0.9620160904833019,1.0,96.2016090483302
2a272436-5132-4136-86fa-dcc88c88f482,660728,API,Organic Search,No,No,0,5.0,674,2.5,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Select,02.Medium,02.Medium,15.0,15.0,No,No,Email Opened,0.0,0.009590770702272416,0.0,0.9590770702272415
8cc8c611-a219-4f35-ad23-fdfd2656bd8a,660727,Landing Page Submission,Direct Traffic,No,No,1,2.0,1532,2.0,Email Opened,India,Business Administration,Select,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,02.Medium,01.High,14.0,20.0,No,Yes,Email Opened,1.0,0.6898338066809456,1.0,68.98338066809457
0cc2df48-7cf4-4e39-9de9-19797f9b38cc,660719,Landing Page Submission,Direct Traffic,No,No,0,1.0,305,1.0,Unreachable,India,Media and Advertising,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Select,Mumbai,02.Medium,01.High,13.0,17.0,No,No,Modified,1.0,0.8298058667792357,1.0,82.98058667792357
3256f628-e534-4826-9d63-4a8b88782852,660681,Landing Page Submission,Google,No,No,1,2.0,1428,1.0,Converted to Lead,India,Select,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Mumbai,02.Medium,01.High,15.0,18.0,No,No,Modified,0.0,0.4839103262037068,1.0,48.39103262037068
2058ef08-2858-443e-a01f-a9237db2f5ce,660680,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,17.0,15.0,No,No,Modified,1.0,0.6953480910658495,1.0,69.53480910658494
9fae7df4-169d-489b-afe4-0f3d752542ed,660673,Landing Page Submission,Google,No,No,1,2.0,1640,2.0,Email Opened,India,Supply Chain Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,14.0,20.0,No,No,Modified,0.0,0.9246547621317678,1.0,92.46547621317677
20ef72a2-fb3b-45e0-924e-551c5fa59095,660664,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,02.Medium,02.Medium,15.0,15.0,No,No,Modified,0.0,0.12958486043846346,0.0,12.958486043846346
cfa0128c-a0da-4656-9d47-0aa4e67bf690,660624,Landing Page Submission,Direct Traffic,No,No,0,2.0,71,2.0,Email Opened,India,IT Projects Management,,,,No,No,No,No,No,No,No,No,,,No,No,,Thane & Outskirts,02.Medium,02.Medium,14.0,14.0,No,Yes,Email Opened,0.0,0.4839103262037068,1.0,48.39103262037068
af465dfc-7204-4130-9e05-33231863c4b5,660616,API,Google,No,No,0,4.0,58,4.0,Email Opened,India,Finance Management,Word Of Mouth,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,02.Medium,02.Medium,13.0,16.0,No,No,Email Opened,0.0,0.02237188019381495,0.0,2.2371880193814953
2a369e35-ca95-4ca9-9e4f-9d27175aa320,660608,Landing Page Submission,Organic Search,No,No,1,8.0,1351,8.0,Email Opened,India,Travel and Tourism,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Other Metro Cities,02.Medium,02.Medium,15.0,14.0,No,Yes,Email Opened,0.0,0.025805465610916442,0.0,2.5805465610916443
9bc8ce93-6144-49e0-9f9d-080fc980f83c,660570,Landing Page Submission,Direct Traffic,No,No,1,8.0,1343,2.67,Page Visited on Website,India,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,,No,No,Select,Thane & Outskirts,02.Medium,01.High,14.0,17.0,No,Yes,Page Visited on Website,0.0,0.02374396064598672,0.0,2.374396064598672
8bf76a52-2478-476b-8618-1688e07874ad,660562,API,Organic Search,No,No,1,11.0,1538,11.0,Email Opened,India,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,01.High,02.Medium,16.0,16.0,No,No,Modified,0.0,0.17411264337916973,0.0,17.411264337916972
88867067-3750-4753-8d33-1c7d1db53b5e,660558,Landing Page Submission,Organic Search,No,No,0,5.0,170,5.0,Email Opened,India,Business Administration,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Thane & Outskirts,02.Medium,01.High,14.0,17.0,No,Yes,Email Opened,0.0,0.1861597155177933,0.0,18.61597155177933
a8531c22-fcf1-48f8-a711-fb5abf98ad87,660553,Landing Page Submission,Direct Traffic,Yes,No,0,1.0,481,1.0,Email Bounced,Russia,Business Administration,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,01.High,01.High,16.0,17.0,No,No,Email Bounced,0.0,0.053230662491826446,0.0,5.323066249182644
25f4ac14-ff4b-4cd2-9c61-b44c85e19c8f,660547,API,Organic Search,No,No,1,6.0,1012,6.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,Email Opened,0.0,0.0293624733391115,0.0,2.93624733391115
3abb7c77-1634-4083-9a9f-861068220611,660540,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,17.0,15.0,No,No,Modified,0.0,0.4839103262037068,1.0,48.39103262037068
e5c3beca-a0b6-4b3f-8c01-0919fb9ca3f2,660534,API,Referral Sites,No,No,0,6.0,973,6.0,Email Link Clicked,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Might be,No,No,Select,Select,02.Medium,02.Medium,13.0,13.0,No,No,Modified,1.0,0.8483183143222139,1.0,84.83183143222139
82cb5fb0-2d97-4a39-a630-ab5fe2e7f18c,660522,Landing Page Submission,Google,No,No,1,6.0,1688,3.0,Page Visited on Website,India,Marketing Management,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Mumbai,02.Medium,01.High,15.0,18.0,No,No,Page Visited on Website,0.0,0.38985727298478184,0.0,38.98572729847818
4512c16a-e96a-4459-b9ec-c7d8fe8c4880,660509,API,Organic Search,No,No,0,3.0,98,3.0,Page Visited on Website,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Worst,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,Modified,0.0,0.004555138007604682,0.0,0.4555138007604682
c4419c99-b002-408b-a6fd-fa100716592c,660479,Landing Page Submission,Google,No,No,0,1.0,233,1.0,Unreachable,India,Media and Advertising,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Select,Mumbai,02.Medium,01.High,13.0,17.0,No,No,Modified,0.0,0.31584691494338557,0.0,31.584691494338557
fd71ab5b-53b8-4105-9960-efedc44962fa,660478,API,Google,No,No,0,4.0,377,1.33,Page Visited on Website,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,In confusion whether part time or DLP,Worst,No,No,Potential Lead,Select,02.Medium,02.Medium,15.0,16.0,No,No,Modified,0.0,0.026995621398279806,0.0,2.6995621398279805
8fd38b83-5c32-4277-bcfb-499f34a01c56,660471,Landing Page Submission,Google,No,No,1,1.0,1013,1.0,Converted to Lead,India,"Banking, Investment And Insurance",Advertisements,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,15.0,20.0,No,No,Modified,0.0,0.10954119206554946,0.0,10.954119206554946
